time,open,high,low,close
2022-12-30T11:00:00+05:30,18227.9,18235.65,18188.95,18192
2022-12-30T12:00:00+05:30,18190.9,18233.9,18184.8,18217.45
2022-12-30T13:00:00+05:30,18217.4,18223.45,18169.65,18170.35
2022-12-30T14:00:00+05:30,18169.1,18206.7,18161.75,18191.85
2022-12-30T15:00:00+05:30,18191.75,18194.1,18080.3,18105.3
2023-01-02T09:00:00+05:30,18131.7,18171.95,18086.5,18160.3
2023-01-02T10:00:00+05:30,18160.35,18189.9,18154.7,18181
2023-01-02T11:00:00+05:30,18181.1,18199.8,18170.5,18173.1
2023-01-02T12:00:00+05:30,18172.55,18197.3,18153.9,18158
2023-01-02T13:00:00+05:30,18158.45,18193.45,18157.9,18163.1
2023-01-02T14:00:00+05:30,18162.6,18206.25,18123.2,18181.6
2023-01-02T15:00:00+05:30,18183.6,18215.15,18171.5,18197.45
2023-01-03T09:00:00+05:30,18163.2,18210.5,18149.8,18209.4
2023-01-03T10:00:00+05:30,18209.45,18238.95,18201.7,18226.35
2023-01-03T11:00:00+05:30,18226.7,18240.4,18213.9,18218.45
2023-01-03T12:00:00+05:30,18219.1,18224.25,18162.5,18179.7
2023-01-03T13:00:00+05:30,18180.6,18225.1,18172.9,18221.15
2023-01-03T14:00:00+05:30,18222.9,18251.95,18205.45,18231.65
2023-01-03T15:00:00+05:30,18233,18243,18211.9,18232.55
2023-01-04T09:00:00+05:30,18230.65,18243,18128.05,18128.3
2023-01-04T10:00:00+05:30,18127.35,18164.5,18113.7,18136.65
2023-01-04T11:00:00+05:30,18137.3,18137.7,18070.3,18075
2023-01-04T12:00:00+05:30,18076.4,18077.45,18037.85,18056.75
2023-01-04T13:00:00+05:30,18057,18123.95,18056.2,18114.25
2023-01-04T14:00:00+05:30,18114.75,18131.4,18020.6,18056.3
2023-01-04T15:00:00+05:30,18055.9,18068.7,18023.3,18042.95
2023-01-05T09:00:00+05:30,18101.95,18120.3,18027.05,18037.25
2023-01-05T10:00:00+05:30,18036.9,18084.4,18013.5,18033.6
2023-01-05T11:00:00+05:30,18033.7,18045.1,17973.35,17981.95
2023-01-05T12:00:00+05:30,17983.1,17986.5,17931.2,17938.05
2023-01-05T13:00:00+05:30,17937.7,17965.35,17892.6,17938.8
2023-01-05T14:00:00+05:30,17938.45,17968.05,17911.15,17954.75
2023-01-05T15:00:00+05:30,17953.4,18007.9,17953.4,17992.15
2023-01-06T09:00:00+05:30,18008.05,18047.4,17970.2,17970.9
2023-01-06T10:00:00+05:30,17971.45,17977.55,17920.2,17932
2023-01-06T11:00:00+05:30,17931.65,17948.75,17903.8,17940.05
2023-01-06T12:00:00+05:30,17938.85,17945.55,17841.2,17845.05
2023-01-06T13:00:00+05:30,17845.9,17851.8,17795.55,17841.15
2023-01-06T14:00:00+05:30,17839.45,17867.55,17797.55,17866.15
2023-01-06T15:00:00+05:30,17865.25,17881.1,17842.95,17859.45
2023-01-09T09:00:00+05:30,17952.55,18055.25,17936.15,18050.35
2023-01-09T10:00:00+05:30,18051.4,18101.2,18051.05,18085.85
2023-01-09T11:00:00+05:30,18085.75,18140.55,18079.5,18126.15
2023-01-09T12:00:00+05:30,18125.5,18141.4,18082.9,18093.35
2023-01-09T13:00:00+05:30,18093.1,18094.15,17997.4,18038.1
2023-01-09T14:00:00+05:30,18037.65,18078,18021.4,18063.25
2023-01-09T15:00:00+05:30,18063.65,18115.7,18063.65,18101.2
2023-01-10T09:00:00+05:30,18121.3,18127.6,17977.1,17983.65
2023-01-10T10:00:00+05:30,17983.9,18010.55,17947.2,17970.4
